,ID ,Group,Topic,Description,URL
12,13.0,Tips ,"""Middle stage"" caregiving tips ","Content includes:
– What to expect as Alzheimer’s progresses into the middle stage
– Growing caregiving responsibilities and adapting daily routines
– Managing changes in behavior, communication, and personal care needs
– Supporting meaningful activities to enhance quality of life
– Safety concerns like wandering and the need to stop driving
– Importance of caregiver self-care, respite, and community support
– Practical tips from other caregivers and resources for ongoing education and help",https://www.alz.org/help-support/caregiving/stages-behaviors/middle-stage
13,14.0,Tips ,"""Late state"" caregiving tips / disease progression and around the clock care","Content includes:
– What to expect as Alzheimer's progresses to the late stage
– The caregiver’s role in preserving comfort, dignity, and sensory connection
– Care options, including home care, residential care, and hospice
– Tips for managing food intake, hydration, and swallowing difficulties
– Support for toileting, incontinence, and monitoring bowel and bladder function
– How to maintain skin health and prevent pressure sores and joint stiffness
– Preventing infections and recognizing signs of illness or pain
– Guidance on making end-of-life care decisions and accessing support resources",https://www.alz.org/help-support/caregiving/stages-behaviors/late-stage
14,15.0,Support Groups,"information on in-person and virtual groups that provide emotional support, practical advice, and community connection for individuals living with dementia and their caregivers.","Content includes:
– In-person and virtual support groups for caregivers and individuals living with dementia
– Early-stage support groups for those recently diagnosed and comfortable sharing
– Caregiver support groups offering emotional support and practical advice
– How to find local support groups through the Alzheimer’s Association chapter
– 24/7 Helpline available for immediate support and guidance (800.272.3900)
– ALZConnected® online community for ongoing connection and shared experiences",https://www.alz.org/help-support/community/support-groups
15,,Physical - Communication ,"guidance on effective communication strategies tailored to each stage of Alzheimer's disease, aiming to enhance understanding and connection between caregivers and individuals living with dementia","Common communication challenges faced by individuals with Alzheimer's, such as difficulty finding words, repeating phrases, and relying more on gestures.​

Strategies for early-stage communication, including active listening, allowing time for responses, and maintaining the individual's involvement in conversations.​

Approaches for middle-stage communication, emphasizing the use of simple language, yes/no questions, and visual cues to aid understanding.​

Techniques for late-stage communication, focusing on nonverbal methods like touch, facial expressions, and sensory stimulation to connect with the individual.​

The importance of regular hearing and vision checks to address sensory impairments that may affect communication.​
Alzheimer’s Association

Encouragement for caregivers to join support communities like ALZConnected to share experiences and gain additional communication tips.",https://www.alz.org/help-support/caregiving/daily-care/communications
16,,Physical- pain ,"Challenges in assessing and managing pain in individuals with Alzheimer's disease and other dementias, emphasizing the limited evidence on the efficacy of analgesics and the need for validated, responsive pain assessment tools in nursing home and end-of-life care settings.","Content includes:
•	Challenges in assessing and managing pain in dementia patients. 
•	Evaluation of pain assessment tools for responsiveness to treatment. 
•	Review of analgesic efficacy in nursing home residents with dementia. 
•	Lack of official guidelines for pain management in dementia care. 
•	Need for further research on analgesic impact on pain and behavior. 
•	Importance of implementing validated pain assessment tools. 
•	Call for standardized pain management protocols in dementia care.
",https://pmc.ncbi.nlm.nih.gov/articles/PMC4920848/
17,,Physical- motor skills and driving,This article provides guidance on recognizing when individuals with Alzheimer's disease should stop driving and offers strategies for managing this transition to ensure safety,"Content includes:
- Indicators that a person with Alzheimer's may no longer drive safely, such as getting lost or decreased reaction times.
- The role of family members and healthcare providers in monitoring driving abilities and initiating conversations about driving cessation.
- Legal considerations and state-specific regulations regarding driving with a dementia diagnosis.
- Suggestions for alternative transportation options to maintain independence and mobility.
- Resources and support systems available to assist families during the transition away from driving.",https://www.nia.nih.gov/health/safety/driving-safety-and-alzheimers-disease
18,,Behavioral- Depression ,"Addresses depression in individuals with Alzheimer's, highlighting its symptoms, causes, and strategies for caregivers to manage and support their loved ones effectively.​","-Recognition of depression symptoms in Alzheimer's patients, such as persistent sadness, withdrawal, and changes in appetite or sleep patterns.
-Discussion on how Alzheimer's-related brain changes can contribute to depression.
-Emphasis on the importance of medical evaluation to differentiate depression from other conditions and to determine appropriate treatments.
-Overview of treatment options, including counseling, medications, and support groups.
-Strategies for caregivers to provide support, such as maintaining routines, encouraging social interaction, and ensuring a safe environment.
-Resources available for caregivers to manage stress and seek support, including online communities and helplines.",https://www.alz.org/help-support/caregiving/stages-behaviors/depression
19,,Behavioral- catastrophic reactions,"Causes of agitation, aggression, and sundowning in people with Alzheimer’s disease and offers practical tips for caregivers to manage these behaviors, create a calming environment, and ensure safety.","Content includes:
– Common causes of agitation and aggression in people with Alzheimer’s
– Tips for managing challenging behaviors with calm, patience, and redirection
– How to create a soothing environment and establish a comforting routine
– Safety precautions to protect the person and others during aggressive episodes
– Strategies for minimizing sundowning, or late-day confusion and restlessness
– When to involve a healthcare provider or seek emergency help
– Resources for caregiver support and behavior management guidance",https://www.nia.nih.gov/health/alzheimers-changes-behavior-and-communication/coping-agitation-aggression-and-sundowning?&utm_source=nia-eblast&utm_medium=email&utm_campaign=general-20250401#tips-for-coping-with-agitation-or-aggression
20,,Behavioral- Paranoia,delusions—strongly held false beliefs—are common in dementia and offers guidance for caregivers on understanding and managing these behaviors,"Definition of delusions and their prevalence in dementia, often manifesting as paranoia or false beliefs about theft or harm

Explanation of how dementia-related brain changes can lead to delusions, particularly in Alzheimer's disease and dementia with Lewy bodies

Common types of delusions, such as believing someone is stealing from them or that a loved one is an impostor

Strategies for caregivers to respond to delusions with empathy, avoiding confrontation, and providing reassurance

Importance of consulting healthcare professionals to rule out other causes and to discuss potential treatments if delusions cause significant distress

Emphasis on caregiver support and self-care when dealing with challenging behaviors associated with delusions",https://www.alzheimers.org.uk/about-dementia/symptoms-and-diagnosis/delusions
21,,Behavioral- Hallucinations and delusions,"Hallucinations can affect individuals with Alzheimer’s, outlines possible medical causes, and offers calming, non-drug strategies for caregivers to respond supportively and modify the environment to reduce distress.","Content includes:
– What hallucinations are and how they can appear in Alzheimer’s or other dementias
– Possible causes, including dementia-related brain changes, infections, medications, or sensory issues
– Importance of medical evaluation to rule out other conditions and determine appropriate treatment
– Non-drug coping strategies, such as offering reassurance, using gentle redirection, and avoiding confrontation
– Environmental adjustments to reduce triggers like shadows, noise, or mirrors
– When medication may be considered and the associated risks of antipsychotics
– Support resources for caregivers, including the ALZConnected online community",https://www.alz.org/help-support/caregiving/stages-behaviors/hallucinations
22,,Behavioral- Hallucinations and delusions,"How suspicions and delusions in Alzheimer’s are caused by the disease, not personal intent, and offers compassionate strategies for caregivers to respond calmly, redirect focus, and seek medical support if needed.","Content includes:
– How delusions and suspicious behavior can appear in middle to late stages of Alzheimer’s
– Common false beliefs, such as accusations of theft, infidelity, or being followed
– Importance of not taking accusations personally and understanding they stem from the disease
– Differences between delusions and hallucinations
– When to seek medical evaluation and consider treatment options
– Tips for responding: stay calm, be reassuring, avoid arguing, and redirect attention
– Practical strategies like duplicating lost items and involving the person in activities
– Support resources, including caregiver communities like ALZConnected",https://www.alz.org/help-support/caregiving/stages-behaviors/suspicions-delusions
23,,ADLs- Bathing,"Practical strategies to help caregivers make bathing safer, more comfortable, and less distressing","Content includes:
– Why bathing can be challenging for people with Alzheimer’s, including fear, discomfort, and confusion
– How to prepare the bathroom to ensure comfort, safety, and privacy
– Tips for helping the person feel in control and involved in the bathing process
– Ways to adapt the process with clear instructions, tools, and flexible approaches
– Alternatives to full bathing, such as sponge baths or using no-rinse cleansers
– Suggestions for respectful, thorough after-bath care and skin health
– Importance of adjusting expectations and exploring what works best for the individual",https://www.alz.org/help-support/caregiving/daily-care/bathing
24,,ADLs- Dressing,"Guidance for caregivers on assisting individuals with Alzheimer's or other dementias in dressing and grooming, aiming to maintain their dignity and promote positive self-esteem."," - Strategies to simplify clothing choices and organize the dressing process to reduce confusion and frustration.
- Recommendations for selecting comfortable, easy-to-wear clothing and footwear to facilitate independence.
- Tips for maintaining grooming routines, including using familiar products and demonstrating tasks to encourage participation.
- Suggestions for adapting grooming tools to ensure safety and ease of use, such as opting for electric shavers over razors.
- Advice on being flexible with personal preferences and focusing on the individual's comfort and hygiene rather than perfection.
- Emphasis on the importance of patience, encouragement, and preserving the individual's sense of control during daily care activities",https://www.alz.org/help-support/caregiving/daily-care/dressing-grooming
25,,ADLs- Eating ,"How dementia can lead to poor appetite or overeating, explores potential causes, and offers practical strategies to support healthy eating habits"," -Common reasons for poor appetite in dementia, such as depression, pain, medication side effects, communication difficulties, and fatigue.​
-Tips to encourage eating, including offering familiar foods, using sensory cues like appealing smells, providing small frequent meals, and allowing flexibility with meal choices.​
-Guidance on managing mealtimes by creating a calm environment, incorporating social interaction, and offering finger foods or snacks when traditional meals are declined.​
-Advice on handling overeating, including addressing boredom, dividing portions, offering healthy snacks, and consulting healthcare professionals if necessary.​
-Emphasis on understanding individual preferences and routines to tailor support effectively.​
-Encouragement to seek professional advice when eating issues persist, highlighting the importance of involving healthcare providers.",https://www.alzheimers.org.uk/get-support/daily-living/poor-appetite-dementia
26,,ADLs- Eating ,"guidance on supporting individuals with dementia to maintain adequate hydration, addressing challenges such as forgetfulness, physical limitations, and the effects of alcohol.​"," -How dementia can impair thirst recognition and the ability to drink independently.
-Health risks associated with dehydration, including increased confusion, urinary tract infections, and constipation.
-Practical tips to encourage fluid intake, such as offering a variety of drinks, using clear or brightly colored cups, and incorporating high-fluid foods.
-The use of hydration aids like Jelly Drops® to support fluid intake.
-Guidance on managing alcohol consumption in individuals with dementia, considering its potential to exacerbate confusion and interact with medications.
-Strategies for caregivers to monitor hydration levels and recognize signs of dehydration",https://www.alzheimers.org.uk/get-support/daily-living/drinking-hydration
27,,ADLs- Eating ,guidance to caregivers on ensuring proper nutrition and addressing common eating challenges for individuals living with Alzheimer's or other dementias," -Tips for providing a balanced diet with appropriate portions of vegetables, fruits, whole grains, low-fat dairy, and lean proteins.​
-Strategies to create a calm and comfortable mealtime environment, such as limiting distractions and using simple table settings.​
-Suggestions to encourage independence during meals, including using adaptive utensils and offering finger foods.​
-Advice on minimizing eating and nutrition problems, like preparing easy-to-chew foods and monitoring for signs of choking.​
-Information on addressing poor appetite and hydration issues, including offering favorite foods and encouraging fluid intake through various means.​
-Resources for additional support, such as connecting with other caregivers through the ALZConnected online community.",https://www.alz.org/help-support/caregiving/daily-care/food-eating
28,,ADLs- Toileting ,"guidance for caregivers on managing incontinence and toilet-related challenges in individuals with dementia, emphasizing practical strategies to maintain dignity and independence","-An explanation of how dementia can lead to urinary and fecal incontinence due to cognitive and physical changes.​
-Identification of factors contributing to incontinence, such as infections, mobility issues, and communication difficulties.​
-Strategies to maintain a healthy bladder and bowels, including proper hydration, a balanced diet, and regular physical activity.​
-Tips for reducing and managing accidents, like establishing routines, using clear signage, and ensuring easy access to toilets.​
-Information on continence aids and professional support, including the use of pads, commodes, and consulting healthcare providers.​
-Advice on maintaining hygiene and handling accidents with sensitivity to preserve the individual's dignity.​
-Encouragement to seek professional help when necessary and to utilize available resources for additional support.",https://www.alzheimers.org.uk/get-support/daily-living/toilet-problems-continence
29,,ADLs- Toileting ,"guidance on managing incontinence in individuals with dementia, emphasizing routine, communication, environmental adjustments, and caregiver support to maintain dignity and comfort","-Establishing a regular toileting schedule to prevent accidents.
-Recognizing verbal and nonverbal cues indicating the need to use the toilet.
-Making the bathroom accessible and safe with visual cues and safety installations.
-Monitoring fluid intake and limiting diuretics to manage bladder function.
-Using appropriate clothing and incontinence products to ease toileting.
-Providing gentle reminders and assistance while respecting the individual's dignity.
-Seeking professional advice for persistent incontinence issues",https://www.alz.org/help-support/caregiving/daily-care/incontinence
30,,ADLs- Medicaiton safety ,"guidance on safely managing medications for individuals with Alzheimer's or other dementias, emphasizing collaboration with healthcare providers, establishing routines, and ensuring proper storage and administration","-The importance of coordinating with doctors and pharmacists to prevent drug interactions and ensure all medications, including over-the-counter and supplements, are accounted for.​
-Tips for caregivers on administering medications, such as using pill organizers, creating daily routines, and employing clear, simple instructions.​
-Strategies for handling medication refusal, including trying again later and consulting healthcare providers about alternative forms if swallowing is an issue.​
-Recommendations for safe medication storage, like locking up medications and disposing of expired or unused drugs properly.​
-Advice on maintaining up-to-date medication records and keeping emergency contact numbers readily accessible.​
-Encouragement to join support communities, such as ALZConnected, for shared experiences and additional tips from other caregivers.",https://www.alz.org/help-support/caregiving/safety/medication-safety
31,,General ,Fact sheet of Alzheimer Disease,"Content include: 
How does Alzheimer's disease affect the brain?
Signs and symptoms of Alzheimer's disease
Stages of Alzheimer's disease
What causes Alzheimer’s disease?
How is Alzheimer’s disease diagnosed?
How is Alzheimer’s disease treated?
Support for families and Alzheimer's disease caregivers",https://www.nia.nih.gov/health/alzheimers-and-dementia/alzheimers-disease-fact-sheet
32,,General ,Overview,"Content include: 
- Common symptoms include memory loss, confusion, difficulty completing familiar tasks, disorientation, poor judgment, and personality changes. Symptoms worsen over time.
- Stages of Alzheimer’s disease
Early (Mild): Memory lapses, losing items, difficulty with planning
Middle (Moderate): Confusion, behavioral changes, difficulty recognizing people
Late (Severe): Loss of communication, mobility, and independence
-What causes Alzheimer’s disease?
- A mix of genetic, lifestyle, and environmental factors. Age is the biggest risk factor. Changes in the brain—like inflammation, vascular issues, and buildup of proteins—are also linked.
-How is Alzheimer’s disease diagnosed?
- Diagnosis involves medical history, cognitive tests, neurological exams, and sometimes imaging (MRI, CT, or PET scans). No single test confirms Alzheimer’s.
-How is Alzheimer’s disease treated?
- There is no cure, but medications can temporarily improve symptoms. Non-drug strategies like exercise, cognitive therapy, and a supportive environment also help.
- Support for families and Alzheimer’s disease caregivers
- Resources include caregiver support groups, educational materials, respite services, and community programs. Caregivers are encouraged to seek help and maintain their own health.",https://www.alzheimers.gov/alzheimers-dementias/alzheimers-disease
33,,Symptoms,Symptoms,"Content include:
-How does Alzheimer’s disease affect the brain?
Alzheimer’s causes the brain to shrink (atrophy) and brain cells to die. It disrupts communication between neurons due to abnormal protein buildup, ultimately impairing memory, thinking, and behavior.
-Signs and symptoms of Alzheimer’s disease
Common signs include persistent memory loss, difficulty completing familiar tasks, confusion with time or place, problems with words, poor judgment, and withdrawal from social activities.
-Stages of Alzheimer’s disease
Mayo Clinic outlines a progression from mild memory impairment to moderate and then severe cognitive decline, affecting independence, personality, and eventually bodily functions.
-What causes Alzheimer’s disease?
The cause is linked to genetic, environmental, and lifestyle factors over time. Key contributors include plaques (amyloid protein) and tangles (tau protein), as well as possible inflammation and vascular problems.
-How is Alzheimer’s disease diagnosed?
Diagnosis is based on a combination of medical history, mental status testing, physical and neurological exams, and brain imaging like MRI or PET scans to rule out other conditions.
-How is Alzheimer’s disease treated?
There is no cure, but medications like cholinesterase inhibitors and memantine may temporarily improve symptoms. A healthy routine, caregiver support, and safety measures are also emphasized.
-Support for families and Alzheimer’s disease caregivers
The Mayo Clinic highlights the emotional and physical toll on caregivers and recommends using community resources, respite care, and education to navigate the journey.",https://www.mayoclinic.org/diseases-conditions/alzheimers-disease/symptoms-causes/syc-20350447
34,,Symptoms,Cause & Risk Factors,"Content Includes:
- Build-up of amyloid plaques and tau tangles in the brain disrupts neuron function and leads to brain cell death
- Age-related changes like inflammation, oxidative stress, and decreased cellular energy contribute to damage
- Alzheimer’s causes cognitive decline affecting memory, reasoning, and behavior
- Combination of factors: age, genetics, cardiovascular health, and lifestyle choices may increase risk
- Specific risk conditions include high blood pressure, diabetes, obesity, and stroke",https://www.nia.nih.gov/health/alzheimers-causes-and-risk-factors/what-causes-alzheimers-disease
35,,Symptoms,Signs & Symptoms,"Content Includes: 
- Early brain changes may occur years before symptoms appear (preclinical stage)
- Common early signs: memory loss, poor judgment, disorientation, repeating questions, and mood changes
- Moderate stage: increased confusion, difficulty with daily tasks, personality changes, and hallucinations
- Severe stage: loss of communication, total dependency, loss of physical abilities, higher infection risk
- Symptoms vary by person and progress gradually over time",https://www.nia.nih.gov/health/alzheimers-symptoms-and-diagnosis/what-are-signs-alzheimers-disease
36,,Genetics,Gene Types,"Content Includes
""Alzheimer's Disease Genetics Fact Sheet"" talks about 
- What are genes? 
- Do changes in genes cause diseases? 
- Genes and Alzheimer's disease; 
- Genetic testing for Alzheimer's disease; 
- Alzheimer’s genetics research",https://www.nia.nih.gov/health/alzheimers-causes-and-risk-factors/alzheimers-disease-genetics-fact-sheet
37,,Genetics,Gene Types,"Content Includes:
- Alzheimer’s genetics involve two gene types:
- Risk genes increase the likelihood but don’t guarantee the disease
- Deterministic genes directly cause Alzheimer’s and are very rare (less than 1% of cases)
- APOE-e4 is the most common risk gene:
One copy increases risk; two copies significantly elevate it
Not everyone with APOE-e4 develops Alzheimer’s
- Deterministic gene mutations include APP, PSEN1, and PSEN2:
Linked to early-onset familial Alzheimer’s
Symptoms typically begin before age 65
- Genetic testing exists but is mainly recommended for:
Those with a strong family history of early-onset Alzheimer’s
People participating in clinical trials
- Having a family history increases risk but doesn’t mean a person will definitely develop the disease",https://www.alz.org/alzheimers-dementia/what-is-alzheimers/causes-and-risk-factors/genetics
38,,Genetics,Alzheimer Genes,"Content Include:
- Alzheimer’s risk is influenced by genetics, especially in early-onset cases
- Mutations in APP, PSEN1, and PSEN2 are linked to early-onset cases
- Genetic testing isn’t routine, mainly for strong family history or early symptoms
- Family history raises risk, but lifestyle and environment also matter








",https://www.mayoclinic.org/diseases-conditions/alzheimers-disease/in-depth/alzheimers-genes/art-20046552
39,,Family History,Alzheimer in Family Risk,"Content Include:
- Having a close relative with Alzheimer’s raises your personal risk by about 30%
- At age 65, the average risk is 2%; with family history, it increases to around 2.6%
- Age is a stronger risk factor than genetics alone
- Genetic testing for APOE4 is not routinely recommended, as it doesn’t confirm or rule out Alzheimer’s
- One APOE4 copy triples the risk; two copies raise it 10–15 times but it’s not definitive
- Lifestyle choices like exercise, heart health, and a balanced diet can help reduce risk",https://www.health.harvard.edu/mind-and-mood/alzheimers-in-the-family
40,,Family History,Maternal Inheritance Risk,"Content Include: 
- Maternal history of Alzheimer’s is linked to higher brain amyloid levels
- Study of adults aged 65–85 showed increased risk if the mother had Alzheimer’s symptoms
- Risk also elevated if both parents had the disease or if the father had early-onset
- Suggests maternal inheritance may have a stronger impact on Alzheimer’s risk",https://www.massgeneralbrigham.org/en/about/newsroom/press-releases/maternal-inheritance-of-alzheimers-increases-risk-of-developing-disease
